name, memory.used [MiB], memory.free [MiB]
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 383 MiB, 15767 MiB
Tesla V100-SXM2-16GB, 605 MiB, 15545 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1233 MiB, 14917 MiB
Tesla V100-SXM2-16GB, 1679 MiB, 14471 MiB
Tesla V100-SXM2-16GB, 2359 MiB, 13791 MiB
Tesla V100-SXM2-16GB, 2359 MiB, 13791 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
